"county_code","date_id","Clinton","Trump","Stein","Johnson"
13289,1015,1.13,2.82,0.00,0.00
13291,1015,4.44,6.34,0.27,0.81
13293,1015,3.56,7.76,0.05,0.65
13295,1015,4.52,7.35,0.20,0.69
13297,1015,3.01,7.36,0.18,0.62
13299,1015,3.21,8.55,0.15,0.49
13301,1015,2.01,4.01,0.00,0.00
13303,1015,2.59,3.89,0.19,0.46
13305,1015,1.76,3.20,0.00,0.32
13307,1015,4.40,6.59,0.00,0.00
13309,1015,1.74,6.52,0.43,0.00
13311,1015,3.96,7.65,0.20,0.61
13313,1015,4.07,6.67,0.12,0.90
13315,1015,2.42,5.19,0.00,0.00
13317,1015,1.87,6.89,0.00,1.58
13319,1015,2.87,8.61,0.15,0.00
13321,1015,1.45,4.99,0.12,0.24
15001,1015,2.57,5.69,0.37,0.55
15003,1015,2.51,5.35,0.24,0.43
15005,1015,0.00,0.00,0.00,0.00
15007,1015,2.60,6.06,0.42,0.63
15009,1015,2.76,6.88,0.31,0.32
16001,1015,3.30,6.34,0.31,0.87
16003,1015,2.26,4.52,0.56,0.56
16005,1015,3.43,5.78,0.30,0.89
16007,1015,3.27,5.65,0.30,0.30
16009,1015,2.67,4.33,0.33,0.00
16011,1015,3.16,5.76,0.23,0.96
16013,1015,3.65,8.11,0.40,0.88
16015,1015,2.81,4.04,0.08,1.07
16017,1015,3.60,5.94,0.31,0.56
16019,1015,2.95,5.04,0.26,0.92
16021,1015,1.82,4.76,0.70,0.56
16023,1015,2.96,6.67,0.37,0.37
16025,1015,5.17,0.00,0.00,0.00
16027,1015,3.17,5.73,0.19,0.72
16029,1015,2.17,3.56,0.20,0.40
16031,1015,3.80,6.56,0.25,0.55
16033,1015,1.92,0.00,0.00,0.00
16035,1015,2.23,4.70,0.00,1.73
16037,1015,4.98,4.98,0.50,1.00
16039,1015,3.03,5.12,0.25,0.53
16041,1015,3.64,6.24,0.39,0.65
16043,1015,3.94,5.56,0.00,1.27
16045,1015,3.53,5.11,0.18,1.41
16047,1015,1.62,4.37,0.12,0.37
16049,1015,2.61,5.56,0.57,1.14
16051,1015,2.78,6.33,0.06,0.58
16053,1015,2.04,4.08,0.17,0.51
16055,1015,3.46,5.93,0.30,0.69
16057,1015,4.16,7.54,0.39,1.20
16059,1015,5.11,7.75,0.35,0.88
16061,1015,1.82,0.91,0.00,0.00
16063,1015,2.67,4.46,0.00,1.07
16065,1015,2.97,5.53,0.37,1.36
16067,1015,4.30,6.36,0.13,0.20
16069,1015,3.23,4.70,0.33,0.96
16071,1015,3.00,4.20,0.00,0.90
16073,1015,4.26,4.72,0.46,0.69
16075,1015,4.29,5.62,0.28,0.50
16077,1015,3.70,5.85,0.29,1.36
16079,1015,3.39,4.41,0.79,0.90
16081,1015,3.17,8.86,0.16,0.57
16083,1015,2.96,5.74,0.21,0.60
16085,1015,2.95,7.27,0.14,0.55
16087,1015,1.93,6.58,0.19,0.39
17001,1015,3.36,5.80,0.23,0.75
17003,1015,4.61,7.83,0.00,0.00
17005,1015,4.74,7.11,0.25,1.52
17007,1015,3.81,6.28,0.24,0.78
17009,1015,2.50,5.00,0.31,0.94
17011,1015,3.82,6.04,0.29,0.73
17013,1015,2.30,4.60,1.15,0.00
17015,1015,3.38,6.87,0.19,1.06
17017,1015,3.06,5.45,0.29,0.19
17019,1015,3.53,7.36,0.39,0.72
17021,1015,3.63,6.89,0.20,0.28
17023,1015,3.16,6.96,0.09,0.56
17025,1015,6.20,10.88,1.05,2.10
17027,1015,3.26,7.94,0.33,0.78
17029,1015,3.79,5.90,0.37,0.60
17031,1015,3.60,7.66,0.22,0.49
17033,1015,2.88,7.82,0.16,0.49
17035,1015,3.79,5.85,0.34,0.52
17037,1015,4.07,7.60,0.26,0.71
17039,1015,3.45,6.55,0.07,0.69
17041,1015,2.69,5.68,0.23,1.23
17043,1015,3.91,7.68,0.26,0.58
17045,1015,3.05,5.58,0.09,0.87
17047,1015,2.95,6.33,0.00,0.42
17049,1015,3.41,5.72,0.18,0.57
17051,1015,3.64,5.94,0.09,0.53
17053,1015,4.55,7.28,0.11,0.46
17055,1015,6.05,9.86,0.14,0.65
17057,1015,3.86,5.80,0.44,0.53
17059,1015,3.91,6.64,0.39,0.00
17061,1015,2.70,3.55,0.14,0.43
17063,1015,3.49,5.95,0.26,0.44
17065,1015,4.52,7.60,0.41,0.82
17067,1015,3.29,5.48,0.00,0.55
17069,1015,7.07,7.07,0.35,0.35
17071,1015,1.98,9.14,0.25,0.25
